Bar Diameter,Maximum bar length,Reinforcement Volume,Rebar Number,Mark,Total Bar Length,Quantity,Workset,Host Category,Host Mark,REBAR-PARTITION,WEIGHT IN KG,Style,Bend Diameter
8 mm,975 mm,293.98 cm³,3531,3476,5848 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.310649,Stirrup / Tie,64 mm
8 mm,975 mm,293.98 cm³,3531,3476,5848 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.310649,Stirrup / Tie,64 mm
8 mm,1155 mm,348.26 cm³,3424,3355,6928 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.737342,Stirrup / Tie,64 mm
8 mm,955 mm,288.15 cm³,3423,3354,5733 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.264893,Stirrup / Tie,64 mm
8 mm,1155 mm,348.26 cm³,3424,3355,6928 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.737342,Stirrup / Tie,64 mm
8 mm,955 mm,288.15 cm³,3423,3354,5733 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.264893,Stirrup / Tie,64 mm
8 mm,1755 mm,352.81 cm³,3451,3381,7019 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.773103,Stirrup / Tie,64 mm
8 mm,955 mm,191.96 cm³,3521,3462,3819 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.508826,Stirrup / Tie,64 mm
8 mm,955 mm,191.96 cm³,3521,3462,3819 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.508826,Stirrup / Tie,64 mm
8 mm,1561 mm,627.84 cm³,3526,3471,12491 mm,8,STR-OUTER STRUCTURES,Structural Column,,shaded foundation,4.934853,Stirrup / Tie,64 mm
8 mm,1561 mm,627.84 cm³,3526,3471,12491 mm,8,STR-OUTER STRUCTURES,Structural Column,,shaded foundation,4.934853,Stirrup / Tie,64 mm
8 mm,1155 mm,290.22 cm³,3424,3355,5774 mm,5,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.281119,Stirrup / Tie,64 mm
8 mm,955 mm,239.95 cm³,3515,3456,4774 mm,5,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.886032,Stirrup / Tie,64 mm
8 mm,1155 mm,232.17 cm³,3424,3355,4619 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.824895,Stirrup / Tie,64 mm
8 mm,955 mm,191.96 cm³,3515,3456,3819 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.508826,Stirrup / Tie,64 mm
8 mm,1155 mm,232.17 cm³,3424,3355,4619 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.824895,Stirrup / Tie,64 mm
8 mm,955 mm,191.96 cm³,3515,3456,3819 mm,4,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.508826,Stirrup / Tie,64 mm
8 mm,1955 mm,491.28 cm³,3519,3460,9774 mm,5,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,3.861465,Stirrup / Tie,64 mm
8 mm,955 mm,239.95 cm³,3521,3462,4774 mm,5,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.886032,Stirrup / Tie,64 mm
8 mm,955 mm,239.95 cm³,3521,3462,4774 mm,5,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,1.886032,Stirrup / Tie,64 mm
8 mm,1655 mm,499.06 cm³,3533,3478,9928 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,3.922602,Stirrup / Tie,64 mm
8 mm,955 mm,287.94 cm³,3521,3462,5728 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.263238,Stirrup / Tie,64 mm
8 mm,955 mm,287.94 cm³,3521,3462,5728 mm,6,STR-OUTER STRUCTURES,Structural Column,OS MEP SUPPORT,,2.263238,Stirrup / Tie,64 mm
10 mm,3356 mm,1318.04 cm³,20,21,16782 mm,5,STR-Model,Structural Foundation,F3,Footing,10.359758,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,21,23,10541 mm,5,STR-Model,Structural Foundation,F3,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,21,23,10541 mm,5,STR-Model,Structural Foundation,F3,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,21,23,10541 mm,5,STR-Model,Structural Foundation,F3,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,21,23,10541 mm,5,STR-Model,Structural Foundation,F3,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,3356 mm,1581.64 cm³,20,21,20138 mm,6,STR-Model,Structural Foundation,F3A,Footing,12.43171,Stirrup / Tie,40 mm
10 mm,2108 mm,993.42 cm³,21,23,12649 mm,6,STR-Model,Structural Foundation,F3A,Footing,7.808284,Stirrup / Tie,40 mm
10 mm,2108 mm,993.42 cm³,21,23,12649 mm,6,STR-Model,Structural Foundation,F3A,Footing,7.808284,Stirrup / Tie,40 mm
10 mm,2108 mm,993.42 cm³,21,23,12649 mm,6,STR-Model,Structural Foundation,F3A,Footing,7.808284,Stirrup / Tie,40 mm
10 mm,2108 mm,993.42 cm³,21,23,12649 mm,6,STR-Model,Structural Foundation,F3A,Footing,7.808284,Stirrup / Tie,40 mm
10 mm,1356 mm,426.11 cm³,37,34,5425 mm,4,STR-Model,Structural Foundation,F6,Footing,3.349223,Stirrup / Tie,40 mm
10 mm,1076 mm,338.15 cm³,38,35,4305 mm,4,STR-Model,Structural Foundation,F6,Footing,2.657821,Stirrup / Tie,40 mm
10 mm,2556 mm,1003.88 cm³,43,43,12782 mm,5,STR-Model,Structural Foundation,F3,Footing,7.890466,Stirrup / Tie,40 mm
10 mm,1356 mm,426.11 cm³,37,34,5425 mm,4,STR-Model,Structural Foundation,F12,Footing,3.349223,Stirrup / Tie,40 mm
10 mm,1076 mm,338.15 cm³,38,35,4305 mm,4,STR-Model,Structural Foundation,F12,Footing,2.657821,Stirrup / Tie,40 mm
10 mm,3356 mm,1318.04 cm³,20,21,16782 mm,5,STR-Model,Structural Foundation,F1,Footing,10.359758,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,21,23,10541 mm,5,STR-Model,Structural Foundation,F1,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,21,23,10541 mm,5,STR-Model,Structural Foundation,F1,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,21,23,10541 mm,5,STR-Model,Structural Foundation,F1,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,21,23,10541 mm,5,STR-Model,Structural Foundation,F1,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,1836 mm,721.13 cm³,87,87,9182 mm,5,STR-Model,Structural Foundation,F1,Footing,5.668104,Stirrup / Tie,40 mm
10 mm,1272 mm,499.34 cm³,88,80,6358 mm,5,STR-Model,Structural Foundation,F1,Footing,3.924783,Stirrup / Tie,40 mm
10 mm,1708 mm,670.79 cm³,99,84,8541 mm,5,STR-Model,Structural Foundation,F3,Footing,5.2724,Stirrup / Tie,40 mm
10 mm,1708 mm,670.79 cm³,99,84,8541 mm,5,STR-Model,Structural Foundation,F3,Footing,5.2724,Stirrup / Tie,40 mm
10 mm,956 mm,225.33 cm³,34,31,2869 mm,3,STR-Model,Structural Foundation,F9,Footing,1.77113,Stirrup / Tie,40 mm
10 mm,956 mm,225.33 cm³,34,31,2869 mm,3,STR-Model,Structural Foundation,F9,Footing,1.77113,Stirrup / Tie,40 mm
10 mm,1756 mm,551.77 cm³,119,219,7025 mm,4,STR-Model,Structural Foundation,F6A,Footing,4.33694,Stirrup / Tie,40 mm
10 mm,1291 mm,405.59 cm³,121,108,5164 mm,4,STR-Model,Structural Foundation,F6A,Footing,3.187911,Stirrup / Tie,40 mm
10 mm,1291 mm,405.59 cm³,121,108,5164 mm,4,STR-Model,Structural Foundation,F6A,Footing,3.187911,Stirrup / Tie,40 mm
10 mm,1356 mm,426.11 cm³,37,34,5425 mm,4,STR-Model,Structural Foundation,F6B,Footing,3.349223,Stirrup / Tie,40 mm
10 mm,1076 mm,338.15 cm³,38,35,4305 mm,4,STR-Model,Structural Foundation,F6B,Footing,2.657821,Stirrup / Tie,40 mm
10 mm,2400 mm,754.03 cm³,137,123,9601 mm,4,STR-Model,Structural Foundation,F4A,Footing,5.926646,Standard,40 mm
10 mm,2400 mm,754.03 cm³,137,123,9601 mm,4,STR-Model,Structural Foundation,F4A,Footing,5.926646,Standard,40 mm
10 mm,2400 mm,565.52 cm³,137,123,7200 mm,3,STR-Model,Structural Foundation,F7,Footing,4.444984,Standard,40 mm
10 mm,2400 mm,565.52 cm³,137,123,7200 mm,3,STR-Model,Structural Foundation,F7,Footing,4.444984,Standard,40 mm
10 mm,1356 mm,426.11 cm³,37,34,5425 mm,4,STR-Model,Structural Column,C3 400x400x7500,Footing,3.349223,Stirrup / Tie,40 mm
10 mm,1076 mm,338.15 cm³,38,35,4305 mm,4,STR-Model,Structural Column,C3 400x400x7500,Footing,2.657821,Stirrup / Tie,40 mm
10 mm,2400 mm,565.52 cm³,137,123,7200 mm,3,STR-Model,Wall,W5,Footing,4.444984,Standard,40 mm
10 mm,2400 mm,565.52 cm³,137,123,7200 mm,3,STR-Model,Wall,W5,Footing,4.444984,Standard,40 mm
10 mm,3356 mm,1318.04 cm³,188,188,16782 mm,5,STR-Model,Structural Foundation,F5,Footing,10.359758,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,189,189,10541 mm,5,STR-Model,Structural Foundation,F5,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,189,189,10541 mm,5,STR-Model,Structural Foundation,F5,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,189,189,10541 mm,5,STR-Model,Structural Foundation,F5,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,2108 mm,827.85 cm³,189,189,10541 mm,5,STR-Model,Structural Foundation,F5,Footing,6.506904,Stirrup / Tie,40 mm
10 mm,956 mm,600.89 cm³,190,190,7651 mm,8,STR-Model,Structural Column,PD1 300x300x2000,Footing,4.723012,Stirrup / Tie,40 mm
10 mm,1356 mm,532.64 cm³,191,191,6782 mm,5,STR-Model,Structural Column,C3 400x400x7500,Footing,4.186529,Stirrup / Tie,40 mm
10 mm,1076 mm,422.68 cm³,192,192,5382 mm,5,STR-Model,Structural Column,C3 400x400x7500,Footing,3.322276,Stirrup / Tie,40 mm
10 mm,3436 mm,2429.01 cm³,202,202,30927 mm,9,STR-Model,Structural Column,C1 900x900x10500,Column,19.092037,Stirrup / Tie,40 mm
10 mm,2148 mm,1518.44 cm³,200,200,19333 mm,9,STR-Model,Structural Column,C1 900x900x10500,Column,11.934972,Stirrup / Tie,40 mm
10 mm,2148 mm,1518.44 cm³,200,200,19333 mm,9,STR-Model,Structural Column,C1 900x900x10500,Column,11.934972,Stirrup / Tie,40 mm
10 mm,3436 mm,3238.68 cm³,202,202,41236 mm,12,STR-Model,Structural Column,C1 900x900x10500,Footing,25.456049,Stirrup / Tie,40 mm
10 mm,2148 mm,9616.81 cm³,200,200,122445 mm,57,STR-Model,Structural Column,C1 900x900x10500,Column,75.588158,Stirrup / Tie,40 mm
10 mm,2148 mm,9616.81 cm³,200,200,122445 mm,57,STR-Model,Structural Column,C1 900x900x10500,Column,75.588158,Stirrup / Tie,40 mm
10 mm,3436 mm,15383.74 cm³,202,202,195872 mm,57,STR-Model,Structural Column,C1 900x900x10500,Column,120.916235,Stirrup / Tie,40 mm
10 mm,2148 mm,9616.81 cm³,200,200,122445 mm,57,STR-Model,Structural Column,C1 900x900x10500,Column,75.588158,Stirrup / Tie,40 mm
10 mm,2148 mm,9616.81 cm³,200,200,122445 mm,57,STR-Model,Structural Column,C1 900x900x10500,Column,75.588158,Stirrup / Tie,40 mm
10 mm,2148 mm,1518.44 cm³,200,200,19333 mm,9,STR-Model,Structural Column,C1 900x900x10500,Column,11.934972,Stirrup / Tie,40 mm
10 mm,2637 mm,11805.99 cm³,207,207,150319 mm,57,STR-Model,Structural Column,C2 700x700x10500,Column,92.795065,Stirrup / Tie,40 mm
10 mm,1749 mm,7827.85 cm³,208,208,99667 mm,57,STR-Model,Structural Column,C2 700x700x10500,Column,61.526927,Stirrup / Tie,40 mm
10 mm,1749 mm,7827.85 cm³,206,206,99667 mm,57,STR-Model,Structural Column,C2 700x700x10500,Column,61.526927,Stirrup / Tie,40 mm
10 mm,2627 mm,1857.03 cm³,1020,926,23645 mm,9,STR-Model,Structural Column,C2 700x700x10500,Column,14.596293,Stirrup / Tie,40 mm
10 mm,1749 mm,1235.98 cm³,208,208,15737 mm,9,STR-Model,Structural Column,C2 700x700x10500,Column,9.714778,Stirrup / Tie,40 mm
10 mm,1729 mm,1221.84 cm³,1019,927,15557 mm,9,STR-Model,Structural Column,C2 700x700x10500,Column,9.60366,Stirrup / Tie,40 mm
10 mm,2627 mm,1650.70 cm³,1020,926,21017 mm,8,STR-Model,Structural Column,C2 700x700x10500,Column,12.974483,Stirrup / Tie,40 mm
10 mm,1749 mm,1098.65 cm³,208,208,13988 mm,8,STR-Model,Structural Column,C2 700x700x10500,Column,8.635358,Stirrup / Tie,40 mm
10 mm,1749 mm,1098.65 cm³,206,206,13988 mm,8,STR-Model,Structural Column,C2 700x700x10500,Column,8.635358,Stirrup / Tie,40 mm
10 mm,2607 mm,1842.76 cm³,1687,1545,23463 mm,9,STR-Model,Structural Column,C2 700x700x10500,Column,14.484064,Stirrup / Tie,40 mm
10 mm,1708 mm,1207.42 cm³,99,84,15373 mm,9,STR-Model,Structural Column,C2 700x700x10500,Column,9.490319,Stirrup / Tie,40 mm
10 mm,1749 mm,1235.98 cm³,206,206,15737 mm,9,STR-Model,Structural Column,C2 700x700x10500,Column,9.714778,Stirrup / Tie,40 mm
10 mm,1356 mm,852.22 cm³,37,34,10851 mm,8,STR-Model,Structural Column,C3 400x400x7500,Column,6.698446,Stirrup / Tie,40 mm
10 mm,1076 mm,676.29 cm³,38,35,8611 mm,8,STR-Model,Structural Column,C3 400x400x7500,Column,5.315642,Stirrup / Tie,40 mm
10 mm,1436 mm,3609.96 cm³,215,234,45963 mm,32,STR-Model,Structural Column,C3 400x400x7500,Column,28.374267,Stirrup / Tie,40 mm
10 mm,1129 mm,2836.50 cm³,240,259,36115 mm,32,STR-Model,Structural Column,C3 400x400x7500,Column,22.294925,Stirrup / Tie,40 mm
10 mm,1436 mm,902.49 cm³,215,234,11491 mm,8,STR-Model,Structural Column,C3 400x400x7500,Column,7.093567,Stirrup / Tie,40 mm
10 mm,1132 mm,711.28 cm³,242,261,9056 mm,8,STR-Model,Structural Column,C3 400x400x7500,Column,5.590693,Stirrup / Tie,40 mm
10 mm,1836 mm,1153.81 cm³,234,257,14691 mm,8,STR-Model,Structural Column,C4 500x500x10500,Column,9.068966,Stirrup / Tie,40 mm
10 mm,1331 mm,836.31 cm³,235,258,10648 mm,8,STR-Model,Structural Column,C4 500x500x10500,Column,6.573366,Stirrup / Tie,40 mm
10 mm,1331 mm,836.31 cm³,235,258,10648 mm,8,STR-Model,Structural Column,C4 500x500x10500,Column,6.573366,Stirrup / Tie,40 mm
10 mm,2148 mm,1518.44 cm³,200,200,19333 mm,9,STR-Model,Structural Column,C1 900x900x10500,Column,11.934972,Stirrup / Tie,40 mm
10 mm,2148 mm,1518.44 cm³,200,200,19333 mm,9,STR-Model,Structural Column,C1 900x900x10500,Column,11.934972,Stirrup / Tie,40 mm
10 mm,3436 mm,2429.01 cm³,202,202,30927 mm,9,STR-Model,Structural Column,C1 900x900x10500,Column,19.092037,Stirrup / Tie,40 mm
10 mm,2148 mm,1518.44 cm³,200,200,19333 mm,9,STR-Model,Structural Column,C1 900x900x10500,Column,11.934972,Stirrup / Tie,40 mm
10 mm,2148 mm,1518.44 cm³,200,200,19333 mm,9,STR-Model,Structural Column,C1 900x900x10500,Column,11.934972,Stirrup / Tie,40 mm
10 mm,1836 mm,4615.25 cm³,234,257,58763 mm,32,STR-Model,Structural Column,C4 500x500x10500,Column,36.275863,Stirrup / Tie,40 mm
10 mm,1331 mm,3345.22 cm³,235,258,42593 mm,32,STR-Model,Structural Column,C4 500x500x10500,Column,26.293464,Stirrup / Tie,40 mm
10 mm,1331 mm,3345.22 cm³,235,258,42593 mm,32,STR-Model,Structural Column,C4 500x500x10500,Column,26.293464,Stirrup / Tie,40 mm
10 mm,1436 mm,902.49 cm³,215,234,11491 mm,8,STR-Model,Structural Column,C3 400x400x7500,Column,7.093567,Stirrup / Tie,40 mm
10 mm,1110 mm,697.67 cm³,216,216,8883 mm,8,STR-Model,Structural Column,C3 400x400x7500,Column,5.483687,Stirrup / Tie,40 mm
10 mm,1836 mm,1874.95 cm³,87,87,23873 mm,13,STR-Model,Structural Column,ST-C2 300x700x2000,Column,14.737069,Stirrup / Tie,40 mm
10 mm,1272 mm,1298.27 cm³,88,80,16530 mm,13,STR-Model,Structural Column,ST-C2 300x700x2000,Column,10.204436,Stirrup / Tie,40 mm
10 mm,1736 mm,7773.24 cm³,241,260,98972 mm,57,STR-Model,Structural Column,ST-C2 250x700x8900,Column,61.097641,Stirrup / Tie,40 mm
10 mm,1172 mm,5244.76 cm³,253,1897,66778 mm,57,STR-Model,Structural Column,ST-C2 250x700x8900,Column,41.223788,Stirrup / Tie,40 mm
10 mm,2136 mm,10067.20 cm³,271,285,128180 mm,60,STR-Model,Structural Column,ST-C3 250x900x8865,Column,79.128156,Stirrup / Tie,40 mm
10 mm,899 mm,4237.37 cm³,272,286,53952 mm,60,STR-Model,Structural Column,ST-C3 250x900x8865,Column,33.305762,Stirrup / Tie,40 mm
10 mm,899 mm,4237.37 cm³,272,286,53952 mm,60,STR-Model,Structural Column,ST-C3 250x900x8865,Column,33.305762,Stirrup / Tie,40 mm
10 mm,1836 mm,3028.76 cm³,234,257,38563 mm,21,STR-Model,Structural Column,C4 500x500x10500,Column,23.806035,Stirrup / Tie,40 mm
10 mm,1331 mm,2195.30 cm³,235,258,27951 mm,21,STR-Model,Structural Column,C4 500x500x10500,Column,17.255086,Stirrup / Tie,40 mm
10 mm,1331 mm,2195.30 cm³,235,258,27951 mm,21,STR-Model,Structural Column,C4 500x500x10500,Column,17.255086,Stirrup / Tie,40 mm
10 mm,1836 mm,1298.04 cm³,234,257,16527 mm,9,STR-Model,Structural Column,C4 500x500x10500,Column,10.202587,Stirrup / Tie,40 mm
10 mm,1331 mm,940.84 cm³,235,258,11979 mm,9,STR-Model,Structural Column,C4 500x500x10500,Column,7.395037,Stirrup / Tie,40 mm
10 mm,1331 mm,940.84 cm³,235,258,11979 mm,9,STR-Model,Structural Column,C4 500x500x10500,Column,7.395037,Stirrup / Tie,40 mm
10 mm,1836 mm,1730.72 cm³,234,257,22036 mm,12,STR-Model,Structural Column,C4 500x500x10500,Column,13.603449,Stirrup / Tie,40 mm
10 mm,1331 mm,1254.46 cm³,235,258,15972 mm,12,STR-Model,Structural Column,C4 500x500x10500,Column,9.860049,Stirrup / Tie,40 mm
10 mm,1331 mm,1254.46 cm³,235,258,15972 mm,12,STR-Model,Structural Column,C4 500x500x10500,Column,9.860049,Stirrup / Tie,40 mm
10 mm,1836 mm,1153.81 cm³,234,257,14691 mm,8,STR-Model,Structural Column,C4 500x500x10500,Column,9.068966,Stirrup / Tie,40 mm
